date,temp_max_c,temp_min_c,temp_mean_c,precipitation_mm,wind_dir,humidity_max,humidity_min,evapotranspiration,latitude,longitude,wind_speed_ms,is_dry_day,consecutive_dry_days,temp_anomaly,fire_danger_score
2023-06-01,8.1,-0.3,4.5,2.8,224,100,37,2.02,64.815,-147.856,3.416666666666667,0,0,-13.108695652173912,0.26524309377100824
2023-06-02,9.1,2.4,5.3,5.9,230,100,42,1.85,64.815,-147.856,5.111111111111111,0,0,-12.108695652173912,0.33080430328514454
2023-06-03,15.8,3.3,9.7,1.0,177,90,34,2.96,64.815,-147.856,5.944444444444444,1,1,-5.408695652173911,0.48787607506353964
2023-06-04,16.1,6.8,11.1,0.2,246,87,42,2.46,64.815,-147.856,2.4166666666666665,1,2,-5.10869565217391,0.33925665792469867
2023-06-05,22.1,5.7,14.7,0.0,46,91,29,4.11,64.815,-147.856,2.611111111111111,1,3,0.8913043478260896,0.4767035388010079
2023-06-06,24.7,9.1,17.6,0.0,262,77,23,4.79,64.815,-147.856,3.2499999999999996,1,4,3.4913043478260875,0.5660931355675612
2023-06-07,24.3,9.9,17.7,0.0,219,73,28,4.67,64.815,-147.856,3.75,1,5,3.091304347826089,0.5774841862734372
2023-06-08,21.5,11.6,16.9,0.1,57,86,43,2.78,64.815,-147.856,3.1111111111111107,1,6,0.29130434782608816,0.48199242231153455
2023-06-09,19.9,11.8,16.0,0.0,231,77,35,3.79,64.815,-147.856,4.111111111111112,1,7,-1.3086956521739133,0.5364835020629967
2023-06-10,19.7,8.1,15.3,0.1,218,91,29,4.16,64.815,-147.856,3.1111111111111107,1,8,-1.5086956521739125,0.5238376235464716
2023-06-11,19.8,9.3,14.5,0.0,110,78,26,4.27,64.815,-147.856,4.472222222222222,1,9,-1.4086956521739111,0.600061765196162
2023-06-12,16.4,9.3,12.4,0.9,227,79,30,3.93,64.815,-147.856,4.833333333333333,1,10,-4.808695652173913,0.56945426984136
2023-06-13,17.2,7.1,11.7,0.6,223,74,26,3.97,64.815,-147.856,6.305555555555555,1,11,-4.0086956521739125,0.6623088272967718
2023-06-14,14.3,7.1,10.7,0.2,220,82,41,2.95,64.815,-147.856,4.166666666666667,1,12,-6.908695652173911,0.505832765693147
2023-06-15,20.2,6.1,13.7,0.2,54,94,20,4.31,64.815,-147.856,4.138888888888889,1,13,-1.0086956521739125,0.6571240781084061
2023-06-16,22.9,11.6,18.1,0.0,34,51,21,4.76,64.815,-147.856,4.027777777777778,1,14,1.6913043478260867,0.6969952102637591
2023-06-17,24.0,11.6,16.6,1.7,279,92,28,3.65,64.815,-147.856,4.472222222222222,1,15,2.791304347826088,0.7199131583192557
2023-06-18,20.5,9.9,15.4,0.0,250,95,28,3.98,64.815,-147.856,4.555555555555555,1,16,-0.7086956521739118,0.688940149756418
2023-06-19,20.0,9.3,15.1,0.0,292,76,31,3.07,64.815,-147.856,2.944444444444444,1,17,-1.2086956521739118,0.6210375106037285
2023-06-20,17.9,10.9,14.0,3.7,210,100,52,2.22,64.815,-147.856,2.611111111111111,0,0,-3.3086956521739133,0.31714626330421164
2023-06-21,22.0,10.3,16.5,0.8,199,97,39,3.65,64.815,-147.856,3.3888888888888884,1,1,0.7913043478260882,0.4527975640348362
2023-06-22,22.6,12.8,16.8,16.1,219,100,47,2.89,64.815,-147.856,3.8333333333333335,0,0,1.3913043478260896,0.4426071529739322
2023-06-23,23.3,13.6,18.1,7.1,180,100,43,3.54,64.815,-147.856,2.1944444444444446,0,0,2.091304347826089,0.39862430924960257
2023-06-24,25.3,14.6,19.1,1.4,119,92,34,3.86,64.815,-147.856,3.2777777777777777,1,1,4.091304347826089,0.5067987271533994
2023-06-25,23.6,14.2,18.9,0.3,172,91,30,4.63,64.815,-147.856,6.527777777777778,1,2,2.3913043478260896,0.6374767796846771
2023-06-26,19.8,12.5,16.4,0.0,217,79,39,3.63,64.815,-147.856,3.4722222222222223,1,3,-1.4086956521739111,0.45069452449782343
2023-06-27,21.9,10.8,16.7,0.0,188,87,28,4.31,64.815,-147.856,2.8055555555555554,1,4,0.6913043478260867,0.49657147234467625
2023-06-28,23.0,13.1,18.6,0.0,73,69,36,3.33,64.815,-147.856,2.5555555555555554,1,5,1.7913043478260882,0.4888651110628512
2023-06-29,17.2,13.1,14.7,13.2,199,100,65,1.88,64.815,-147.856,3.2777777777777777,0,0,-4.0086956521739125,0.29545507395629084
2023-06-30,19.6,10.8,15.6,0.0,232,94,44,3.55,64.815,-147.856,4.0,1,1,-1.6086956521739104,0.43052800889710874
2023-07-01,23.0,10.1,17.4,0.0,241,92,34,4.12,64.815,-147.856,2.111111111111111,1,2,1.7913043478260882,0.4418914354606676
2023-07-02,25.4,12.4,20.0,0.0,105,84,35,4.41,64.815,-147.856,3.1111111111111107,1,3,4.191304347826087,0.5220140941364142
2023-07-03,24.1,14.2,19.2,0.2,288,69,33,3.65,64.815,-147.856,3.8055555555555554,1,4,2.8913043478260896,0.5502978461987761
2023-07-04,20.1,13.3,16.5,0.0,222,69,26,4.89,64.815,-147.856,4.638888888888888,1,5,-1.1086956521739104,0.5635801443547105
2023-07-05,24.0,11.9,17.6,0.0,186,64,29,4.86,64.815,-147.856,4.805555555555555,1,6,2.791304347826088,0.6242904739222775
2023-07-06,25.1,12.9,18.9,0.0,314,71,39,3.07,64.815,-147.856,3.0555555555555554,1,7,3.8913043478260896,0.5509156044718372
2023-07-07,20.6,14.8,17.2,9.2,210,100,60,1.9,64.815,-147.856,2.9166666666666665,0,0,-0.6086956521739104,0.3408272751865252
2023-07-08,18.2,9.1,13.6,3.0,232,100,36,2.95,64.815,-147.856,5.777777777777778,0,0,-3.0086956521739125,0.4950604823017205
2023-07-09,23.9,9.4,16.8,0.0,201,80,34,4.14,64.815,-147.856,4.527777777777778,1,1,2.6913043478260867,0.538101431337079
2023-07-10,21.8,13.8,18.2,0.0,233,60,37,3.93,64.815,-147.856,4.972222222222221,1,2,0.5913043478260889,0.5309141162531482
2023-07-11,23.0,14.5,18.2,0.0,255,72,42,3.88,64.815,-147.856,4.027777777777778,1,3,1.7913043478260882,0.5058992351071083
2023-07-12,19.8,12.2,15.5,2.3,242,100,46,2.33,64.815,-147.856,3.083333333333333,0,0,-1.4086956521739111,0.3789307936426256
2023-07-13,22.4,9.1,17.0,0.0,184,93,32,3.79,64.815,-147.856,2.7222222222222223,1,1,1.1913043478260867,0.45254138496343566
